Persona;Departamento;DIA;Receptor;HR INICIAL;Caso
;115;16/11/2015;;0;1
;115;23/11/2015;;0;1
;115;30/11/2015;;0;1
;115;07/12/2015;;0;1
;115;14/12/2015;;0;1
;115;21/12/2015;;0;1
;115;28/12/2015;;0;1
;115;04/01/2016;;0;1
;115;11/01/2016;;0;1
;115;18/01/2016;;0;1
;115;25/01/2016;;0;1
;115;01/02/2016;;0;1
;115;08/02/2016;;0;1
;115;15/02/2016;;0;1
;115;22/02/2016;;0;1
;115;01/03/2016;;0;1
;115;08/03/2016;;0;1
;115;15/03/2016;;0;1
;115;22/03/2016;;0;1
;115;29/03/2016;;0;1
;115;05/04/2016;;0;1
;115;12/04/2016;;0;1
;115;19/04/2016;;0;1
;115;26/04/2016;;0;1
;115;03/05/2016;;0;1
;115;17/05/2016;;0;1
;115;24/05/2016;;0;1
;115;31/05/2016;;0;1
;115;07/06/2016;;0;1
;115;14/06/2016;;0;1
;115;21/06/2016;;0;1
;115;28/06/2016;;0;1
;115;05/07/2016;;0;1
;115;12/07/2016;;0;1
;115;19/07/2016;;0;1
;115;26/07/2016;;0;1
;115;02/08/2016;;0;1
;115;09/08/2016;;0;1
;115;16/08/2016;;0;1
;115;23/08/2016;;0;1
;115;30/08/2016;;0;1
;115;06/09/2016;;0;1
;115;13/09/2016;;10;1
;115;20/09/2016;;10;1
;115;27/09/2016;;10;1
;115;04/10/2016;;10;1
;115;11/10/2016;;10;1
;115;18/10/2016;;10;1
;115;25/10/2016;;10;1
;115;01/11/2016;;10;1
;115;08/11/2016;;10;1
;115;15/11/2016;;10;1
;115;22/11/2016;;10;1
;115;29/11/2016;;10;1
;115;06/12/2016;;10;1
;115;13/12/2016;;10;1
;115;20/12/2016;;8;1
;115;27/12/2016;;8;1
;115;03/01/2017;;10;1
;115;17/01/2017;;10;1
;115;24/01/2017;;10;1
;115;31/01/2017;;10;1
;115;07/02/2017;;10;1
;115;14/02/2017;;10;1
;115;21/02/2017;;10;1
;115;28/02/2017;;10;1
;115;07/03/2017;;10;1
;115;14/03/2017;;10;1
;115;21/03/2017;;10;1
;115;28/03/2017;;10;1
;115;04/04/2017;;10;1
;115;11/04/2017;;10;1
;115;18/04/2017;;10;1
;115;25/04/2017;;10;1
;115;02/05/2017;;10;1
;115;09/05/2017;;10;1
;115;16/05/2017;;10;1
;115;23/05/2017;;10;1
;115;30/05/2017;;10;1
;115;06/06/2017;;10;1
;115;13/06/2017;;10;1
;115;20/06/2017;;10;1
;115;27/06/2017;;10;1
;115;04/07/2017;;10;1
;115;11/07/2017;;10;1
;115;18/07/2017;;10;1
;115;25/07/2017;;10;1
;115;01/08/2017;;10;1
;115;08/08/2017;;10;1
;115;15/08/2017;;10;1
;115;22/08/2017;;10;1
;115;29/08/2017;;10;1
;115;05/09/2017;;10;1
;115;12/09/2017;;10;1
;115;19/09/2017;;10;1
;115;26/09/2017;;10;1
;115;03/10/2017;;10;1
;115;17/10/2017;;10;1
;115;24/10/2017;;10;1
;115;31/10/2017;;10;1
;115;07/11/2017;;10;1
;115;14/11/2017;;10;1
;115;21/11/2017;;10;1
;115;28/11/2017;;10;1
;115;05/12/2017;;10;1
;115;12/12/2017;;10;1
;115;19/12/2017;;8;1
;115;26/12/2017;;8;1
;115;02/01/2018;;10;1
;115;09/01/2018;;10;1
;115;16/01/2018;;10;1
;115;23/01/2018;;10;1
;115;30/01/2018;;10;1
;115;06/02/2018;;10;1
;115;13/02/2018;;10;1
;115;20/02/2018;;10;1
;115;27/02/2018;;10;1
;115;06/03/2018;;8;1
;210;16/11/2015;;0;1
;210;23/11/2015;;0;1
;210;30/11/2015;;0;1
;210;07/12/2015;;0;1
;210;14/12/2015;;0;1
;210;21/12/2015;;0;1
;210;28/12/2015;;0;1
;210;04/01/2016;;0;1
;210;11/01/2016;;0;1
;210;18/01/2016;;0;1
;210;25/01/2016;;0;1
;210;01/02/2016;;0;1
;210;08/02/2016;;0;1
;210;15/02/2016;;0;1
;210;22/02/2016;;0;1
;210;01/03/2016;;0;1
;210;08/03/2016;;0;1
;210;15/03/2016;;0;1
;210;22/03/2016;;0;1
;210;29/03/2016;;0;1
;210;05/04/2016;;0;1
;210;12/04/2016;;0;1
;210;19/04/2016;;0;1
;210;26/04/2016;;0;1
;210;03/05/2016;;0;1
;210;17/05/2016;;0;1
;210;24/05/2016;;0;1
;210;31/05/2016;;0;1
;210;07/06/2016;;0;1
;210;14/06/2016;;0;1
;210;21/06/2016;;0;1
;210;28/06/2016;;0;1
;210;05/07/2016;;0;1
;210;12/07/2016;;20;1
;210;19/07/2016;;20;1
;210;26/07/2016;;20;1
;210;02/08/2016;;20;1
;210;09/08/2016;;20;1
;210;16/08/2016;;20;1
;210;23/08/2016;;20;1
;210;30/08/2016;;20;1
;210;06/09/2016;;20;1
;210;13/09/2016;;40;1
;210;20/09/2016;;40;1
;210;27/09/2016;;40;1
;210;04/10/2016;;40;1
;210;11/10/2016;;50;1
;210;18/10/2016;;50;1
;210;25/10/2016;;50;1
;210;01/11/2016;;50;1
;210;08/11/2016;;50;1
;210;15/11/2016;;50;1
;210;22/11/2016;;50;1
;210;29/11/2016;;50;1
;210;06/12/2016;;50;1
;210;13/12/2016;;70;1
;210;20/12/2016;;56;1
;210;27/12/2016;;56;1
;210;03/01/2017;;70;1
;210;17/01/2017;;70;1
;210;24/01/2017;;70;1
;210;31/01/2017;;70;1
;210;07/02/2017;;70;1
;210;14/02/2017;;70;1
;210;21/02/2017;;70;1
;210;28/02/2017;;70;1
;210;07/03/2017;;70;1
;210;14/03/2017;;70;1
;210;21/03/2017;;70;1
;210;28/03/2017;;70;1
;210;04/04/2017;;70;1
;210;11/04/2017;;70;1
;210;18/04/2017;;70;1
;210;25/04/2017;;70;1
;210;02/05/2017;;70;1
;210;09/05/2017;;70;1
;210;16/05/2017;;70;1
;210;23/05/2017;;70;1
;210;30/05/2017;;70;1
;210;06/06/2017;;70;1
;210;13/06/2017;;70;1
;210;20/06/2017;;70;1
;210;27/06/2017;;70;1
;210;04/07/2017;;70;1
;210;11/07/2017;;70;1
;210;18/07/2017;;70;1
;210;25/07/2017;;70;1
;210;01/08/2017;;70;1
;210;08/08/2017;;70;1
;210;15/08/2017;;70;1
;210;22/08/2017;;70;1
;210;29/08/2017;;70;1
;210;05/09/2017;;70;1
;210;12/09/2017;;70;1
;210;19/09/2017;;70;1
;210;26/09/2017;;70;1
;210;03/10/2017;;70;1
;210;17/10/2017;;70;1
;210;24/10/2017;;70;1
;210;31/10/2017;;70;1
;210;07/11/2017;;70;1
;210;14/11/2017;;70;1
;210;21/11/2017;;70;1
;210;28/11/2017;;70;1
;210;05/12/2017;;70;1
;210;12/12/2017;;70;1
;210;19/12/2017;;56;1
;210;26/12/2017;;56;1
;210;02/01/2018;;70;1
;210;09/01/2018;;70;1
;210;16/01/2018;;50;1
;210;23/01/2018;;50;1
;210;30/01/2018;;50;1
;210;06/02/2018;;50;1
;210;13/02/2018;;50;1
;210;20/02/2018;;50;1
;210;27/02/2018;;50;1
;210;06/03/2018;;40;1
;450;16/11/2015;;0;1
;450;23/11/2015;;0;1
;450;30/11/2015;;0;1
;450;07/12/2015;;0;1
;450;14/12/2015;;0;1
;450;21/12/2015;;0;1
;450;28/12/2015;;0;1
;450;04/01/2016;;0;1
;450;11/01/2016;;0;1
;450;18/01/2016;;0;1
;450;25/01/2016;;0;1
;450;01/02/2016;;0;1
;450;08/02/2016;;0;1
;450;15/02/2016;;0;1
;450;22/02/2016;;0;1
;450;01/03/2016;;0;1
;450;08/03/2016;;0;1
;450;15/03/2016;;0;1
;450;22/03/2016;;0;1
;450;29/03/2016;;0;1
;450;05/04/2016;;0;1
;450;12/04/2016;;0;1
;450;19/04/2016;;0;1
;450;26/04/2016;;0;1
;450;03/05/2016;;0;1
;450;17/05/2016;;0;1
;450;24/05/2016;;0;1
;450;31/05/2016;;0;1
;450;07/06/2016;;0;1
;450;14/06/2016;;0;1
;450;21/06/2016;;0;1
;450;28/06/2016;;0;1
;450;05/07/2016;;0;1
